id;ordernumber;pricegroup;von;zu;price;pseudoprice;baseprice;bulkgroup;taxgroup;taxvalue
405;100086;VK_DP;1;beliebig;8;;0;0;+;19
406;100087;VK1;1;beliebig;5,5;;0;0;+;19
407;100087;VK2;1;beliebig;3,45;;0;0;+;19
408;100087;VK3;1;beliebig;6,5;;0;0;+;19
409;100087;VK4;1;beliebig;8;;0;0;+;19
410;100087;VK_DP;1;beliebig;5;;0;0;+;19
411;100088;VK1;1;beliebig;4;;0;0;+;19
412;100088;VK2;1;beliebig;2,8;;0;0;+;19
413;100088;VK3;1;beliebig;5;;0;0;+;19
414;100088;VK4;1;beliebig;6;;0;0;+;19
415;100088;VK_DP;1;beliebig;4;;0;0;+;19
416;100089;VK1;1;beliebig;4;;0;0;+;19
417;100089;VK2;1;beliebig;2,3;;0;0;+;19
418;100089;VK3;1;beliebig;5;;0;0;+;19
419;100089;VK4;1;beliebig;6;;0;0;+;19
420;100089;VK_DP;1;beliebig;3,5;;0;0;+;19
421;100090;VK1;1;beliebig;4;;0;0;+;19
422;100090;VK2;1;beliebig;3,35;;0;0;+;19
423;100090;VK3;1;beliebig;5;;0;0;+;19
424;100090;VK4;1;beliebig;6;;0;0;+;19
425;100090;VK_DP;1;beliebig;5;;0;0;+;19
426;100091;VK1;1;beliebig;3,5;;0;0;+;19
427;100091;VK2;1;beliebig;3,35;;0;0;+;19
428;100091;VK3;1;beliebig;4,5;;0;0;+;19
429;100091;VK4;1;beliebig;5;;0;0;+;19
430;100091;VK_DP;1;beliebig;5;;0;0;+;19
431;100092;VK1;1;beliebig;3,5;;0;0;+;19
432;100092;VK2;1;beliebig;3,35;;0;0;+;19
433;100092;VK3;1;beliebig;4,5;;0;0;+;19
434;100092;VK4;1;beliebig;5;;0;0;+;19
435;100092;VK_DP;1;beliebig;5;;0;0;+;19
436;100093;VK1;1;beliebig;5;;0;0;+;19
437;100093;VK2;1;beliebig;4,35;;0;0;+;19
438;100093;VK3;1;beliebig;6;;0;0;+;19
439;100093;VK4;1;beliebig;7,5;;0;0;+;19
440;100093;VK_DP;1;beliebig;6,5;;0;0;+;19
441;100094;VK1;1;beliebig;6;;0;0;+;19
442;100094;VK2;1;beliebig;4,95;;0;0;+;19
443;100094;VK3;1;beliebig;7,5;;0;0;+;19
444;100094;VK4;1;beliebig;9;;0;0;+;19
445;100094;VK_DP;1;beliebig;7,5;;0;0;+;19
446;100095;VK1;1;beliebig;6;;0;0;+;19
447;100095;VK2;1;beliebig;5,5;;0;0;+;19
448;100095;VK3;1;beliebig;7,5;;0;0;+;19
449;100095;VK4;1;beliebig;9;;0;0;+;19
450;100095;VK_DP;1;beliebig;8;;0;0;+;19
451;100096;VK1;1;beliebig;10,5;;0;0;+;19
452;100096;VK2;1;beliebig;8,65;;0;0;+;19
453;100096;VK3;1;beliebig;12,5;;0;0;+;19
454;100096;VK4;1;beliebig;15;;0;0;+;19
455;100096;VK_DP;1;beliebig;12,5;;0;0;+;19
456;100097;VK1;1;beliebig;1,5;;0;0;+;19
457;100097;VK2;1;beliebig;1,35;;0;0;+;19
458;100097;VK3;1;beliebig;2;;0;0;+;19
459;100097;VK4;1;beliebig;2,5;;0;0;+;19
460;100097;VK_DP;1;beliebig;2;;0;0;+;19
461;100098;VK1;1;beliebig;1,5;;0;0;+;19
462;100098;VK2;1;beliebig;1,35;;0;0;+;19
463;100098;VK3;1;beliebig;2;;0;0;+;19
464;100098;VK4;1;beliebig;2,5;;0;0;+;19
465;100098;VK_DP;1;beliebig;2;;0;0;+;19
466;100099;VK1;1;beliebig;1,5;;0;0;+;19
467;100099;VK2;1;beliebig;1,35;;0;0;+;19
468;100099;VK3;1;beliebig;2;;0;0;+;19
469;100099;VK4;1;beliebig;2,5;;0;0;+;19
470;100099;VK_DP;1;beliebig;2;;0;0;+;19
471;100100;VK1;1;beliebig;1,5;;0;0;+;19
472;100100;VK2;1;beliebig;1,35;;0;0;+;19
473;100100;VK3;1;beliebig;2;;0;0;+;19
474;100100;VK4;1;beliebig;2,5;;0;0;+;19
475;100100;VK_DP;1;beliebig;2;;0;0;+;19
476;100101;VK1;1;beliebig;1,5;;0;0;+;19
477;100101;VK2;1;beliebig;1,35;;0;0;+;19
478;100101;VK3;1;beliebig;2;;0;0;+;19
479;100101;VK4;1;beliebig;2,5;;0;0;+;19
480;100101;VK_DP;1;beliebig;2;;0;0;+;19
481;100102;VK1;1;beliebig;1,5;;0;0;+;19
482;100102;VK2;1;beliebig;1,35;;0;0;+;19
483;100102;VK3;1;beliebig;2;;0;0;+;19
