id;ordernumber;pricegroup;von;zu;price;pseudoprice;baseprice;bulkgroup;taxgroup;taxvalue
24236;104061;H05;1;beliebig;3,03;;0;0;+;19
24237;104061;H08;1;beliebig;2,93;;0;0;+;19
24238;104061;H15;1;beliebig;2,71;;0;0;+;19
24239;104061;H20;1;beliebig;2,55;;0;0;+;19
24240;104061;H33;1;beliebig;2,13;;0;0;+;19
24241;104062;EK;1;beliebig;3,79;;0;0;I;19
24242;104062;H05;1;beliebig;3,03;;0;0;+;19
24243;104062;H08;1;beliebig;2,93;;0;0;+;19
24244;104062;H15;1;beliebig;2,71;;0;0;+;19
24245;104062;H20;1;beliebig;2,55;;0;0;+;19
24246;104062;H33;1;beliebig;2,13;;0;0;+;19
24247;104063;EK;1;beliebig;3,79;;0;0;I;19
24248;104063;H05;1;beliebig;3,03;;0;0;+;19
24249;104063;H08;1;beliebig;2,93;;0;0;+;19
24250;104063;H15;1;beliebig;2,71;;0;0;+;19
24251;104063;H20;1;beliebig;2,55;;0;0;+;19
24252;104063;H33;1;beliebig;2,13;;0;0;+;19
24253;104064;EK;1;beliebig;3,79;;0;0;I;19
24254;104064;H05;1;beliebig;3,03;;0;0;+;19
24255;104064;H08;1;beliebig;2,93;;0;0;+;19
24256;104064;H15;1;beliebig;2,71;;0;0;+;19
24257;104064;H20;1;beliebig;2,55;;0;0;+;19
24258;104064;H33;1;beliebig;2,13;;0;0;+;19
24259;104065;EK;1;beliebig;3,49;;0;0;I;19
24260;104065;H05;1;beliebig;2,79;;0;0;+;19
24261;104065;H08;1;beliebig;2,7;;0;0;+;19
24262;104065;H15;1;beliebig;2,49;;0;0;+;19
24263;104065;H20;1;beliebig;2,35;;0;0;+;19
24264;104065;H33;1;beliebig;1,96;;0;0;+;19
24265;104066;EK;1;beliebig;4,59;;0;0;I;19
24266;104066;H05;1;beliebig;3,66;;0;0;+;19
24267;104066;H08;1;beliebig;3,55;;0;0;+;19
24268;104066;H15;1;beliebig;3,28;;0;0;+;19
24269;104066;H20;1;beliebig;3,09;;0;0;+;19
24270;104066;H33;1;beliebig;2,58;;0;0;+;19
24271;104067;EK;1;beliebig;3,79;;0;0;I;19
24272;104067;H05;1;beliebig;3,03;;0;0;+;19
24273;104067;H08;1;beliebig;2,93;;0;0;+;19
24274;104067;H15;1;beliebig;2,71;;0;0;+;19
24275;104067;H20;1;beliebig;2,55;;0;0;+;19
24276;104067;H33;1;beliebig;2,13;;0;0;+;19
24277;104068;EK;1;beliebig;7,79;;0;0;I;19
24278;104068;H05;1;beliebig;6,22;;0;0;+;19
24279;104068;H08;1;beliebig;6,02;;0;0;+;19
24280;104068;H15;1;beliebig;5,56;;0;0;+;19
24281;104068;H20;1;beliebig;5,24;;0;0;+;19
24282;104068;H33;1;beliebig;4,39;;0;0;+;19
24283;104069;EK;1;beliebig;3,79;;0;0;I;19
24284;104069;H05;1;beliebig;3,03;;0;0;+;19
24285;104069;H08;1;beliebig;2,93;;0;0;+;19
24286;104069;H15;1;beliebig;2,71;;0;0;+;19
24287;104069;H20;1;beliebig;2,55;;0;0;+;19
24288;104069;H33;1;beliebig;2,13;;0;0;+;19
24289;104070;EK;1;beliebig;3,79;;0;0;I;19
24290;104070;H05;1;beliebig;3,03;;0;0;+;19
24291;104070;H08;1;beliebig;2,93;;0;0;+;19
24292;104070;H15;1;beliebig;2,71;;0;0;+;19
24293;104070;H20;1;beliebig;2,55;;0;0;+;19
24294;104070;H33;1;beliebig;2,13;;0;0;+;19
24295;104071;EK;1;beliebig;4,69;;0;0;I;19
24296;104071;H05;1;beliebig;3,74;;0;0;+;19
24297;104071;H08;1;beliebig;3,63;;0;0;+;19
24298;104071;H15;1;beliebig;3,35;;0;0;+;19
24299;104071;H20;1;beliebig;3,15;;0;0;+;19
24300;104071;H33;1;beliebig;2,64;;0;0;+;19
24301;104072;EK;1;beliebig;5,49;;0;0;I;19
24302;104072;H05;1;beliebig;4,38;;0;0;+;19
24303;104072;H08;1;beliebig;4,24;;0;0;+;19
24304;104072;H15;1;beliebig;3,92;;0;0;+;19
24305;104072;H20;1;beliebig;3,69;;0;0;+;19
24306;104072;H33;1;beliebig;3,09;;0;0;+;19
24307;104073;EK;1;beliebig;4,69;;0;0;I;19
24308;104073;H05;1;beliebig;3,74;;0;0;+;19
24309;104073;H08;1;beliebig;3,63;;0;0;+;19
24310;104073;H15;1;beliebig;3,35;;0;0;+;19
24311;104073;H20;1;beliebig;3,15;;0;0;+;19
24312;104073;H33;1;beliebig;2,64;;0;0;+;19
24313;104074;EK;1;beliebig;4,69;;0;0;I;19
24314;104074;H05;1;beliebig;3,74;;0;0;+;19
24315;104074;H08;1;beliebig;3,63;;0;0;+;19
24316;104074;H15;1;beliebig;3,35;;0;0;+;19
24317;104074;H20;1;beliebig;3,15;;0;0;+;19
24318;104074;H33;1;beliebig;2,64;;0;0;+;19
24319;104075;EK;1;beliebig;4,69;;0;0;I;19
24320;104075;H05;1;beliebig;3,74;;0;0;+;19
